ind,pop,taxon
VIC-20-09-11,VIC-20-09-,1
VIC-20-09-12,VIC-20-09-,2
VIC-20-09-13,VIC-20-09-,3
VIC-20-09-14,VIC-20-09-,4
VIC-20-09-15,VIC-20-09-,5
VIC-20-09-16,VIC-20-09-,6
VIC-20-09-17,VIC-20-09-,7
VIC-20-09-18,VIC-20-09-,8
VIC-20-09-19,VIC-20-09-,9
VIC-20-09-20,VIC-20-09-,0
VIC-20-09-21,VIC-20-09-,1
VIC-20-09-22,VIC-20-09-,2
VIC-20-09-23,VIC-20-09-,3
VIC-20-09-24,VIC-20-09-,4
VIC-20-09-25,VIC-20-09-,5
VIC-20-09-26,VIC-20-09-,6
VIC-20-09-27,VIC-20-09-,7
VIC-20-09-28,VIC-20-09-,8
VIC-20-09-29,VIC-20-09-,9
VIC-20-09-30,VIC-20-09-,0
VIC-20-09-31,VIC-20-09-,1
VIC-20-09-32,VIC-20-09-,2
VIC-20-09-34,VIC-20-09-,4
VIC-20-09-35,VIC-20-09-,5
VIC-20-09-36,VIC-20-09-,6
VIC-20-09-37,VIC-20-09-,7
VIC-20-09-38,VIC-20-09-,8
VIC-20-10-01a,VIC-20-10-0,a
VIC-20-10-02,VIC-20-10-,2
VIC-20-10-03,VIC-20-10-,3
VIC-20-10-04,VIC-20-10-,4
VIC-20-10-07,VIC-20-10-,7
VIC-20-10-08,VIC-20-10-,8
VIC-20-10-16,VIC-20-10-,6
VIC-20-12-01,VIC-20-12-,1
VIC-20-14-03,VIC-20-14-,3
VIC-20-14-05,VIC-20-14-,5
VIC-20-14-06,VIC-20-14-,6
VIC-20-14-07,VIC-20-14-,7
VIC-20-14-08,VIC-20-14-,8
VIC-20-14-09,VIC-20-14-,9
VIC-20-18-01,VIC-20-18-,1
VIC-20-20-02,VIC-20-20-,2
VIC-20-20-03,VIC-20-20-,3
VIC-20-20-04,VIC-20-20-,4
VIC-20-20-05,VIC-20-20-,5
VIC-20-20-06,VIC-20-20-,6
VIC-20-20-07,VIC-20-20-,7
VIC-20-20-08,VIC-20-20-,8
VIC-20-20-09,VIC-20-20-,9
VIC-20-20-11,VIC-20-20-,1
VIC-20-20-13,VIC-20-20-,3
VIC-20-20-15,VIC-20-20-,5
VIC-20-20-16,VIC-20-20-,6
VIC-20-20-17,VIC-20-20-,7
VIC-20-20-18,VIC-20-20-,8
VIC-20-20-19,VIC-20-20-,9
VIC-L-20-01,VIC-L-20-,1
VIC-L-20-02,VIC-L-20-,2
VIC-L-20-03,VIC-L-20-,3
VIC-L-20-04,VIC-L-20-,4
VIC-L-20-05,VIC-L-20-,5
VIC-L-20-06-05,VIC-L-20-06-,5
VIC-L-20-06,VIC-L-20-,6
VIC-L-20-07,VIC-L-20-,7
VIC-L-20-08,VIC-L-20-,8
VIC-L-20-09,VIC-L-20-,9
VIC-L-20-10,VIC-L-20-,0
VIC-L-20-11,VIC-L-20-,1
VIC-L-20-12,VIC-L-20-,2
VIC-L-20-13,VIC-L-20-,3
VIC-L-20-14,VIC-L-20-,4
VIC-L-20-15,VIC-L-20-,5
VIC-L-20-16,VIC-L-20-,6
VIC-L-20-17,VIC-L-20-,7
VIC-L-20-18,VIC-L-20-,8
VIC-L-20-19,VIC-L-20-,9
VIC-L-20-20-12,VIC-L-20-20-,2
VIC-L-20-20,VIC-L-20-,0
VIC-L-20-21,VIC-L-20-,1
